,y_true,true_abs,true_rel,false_abs,false_rel
nh0001,novela romántica,19,0.95,1,0.05
nh0002,novela realista,100,1.0,0,0.0
nh0003,novela romántica,30,1.0,0,0.0
nh0005,novela romántica,30,1.0,0,0.0
nh0006,novela romántica,40,1.0,0,0.0
nh0007,novela romántica,40,1.0,0,0.0
nh0008,novela realista,100,1.0,0,0.0
nh0009,novela romántica,50,1.0,0,0.0
nh0010,novela realista,100,1.0,0,0.0
nh0015,novela realista,100,1.0,0,0.0
nh0016,novela romántica,37,0.925,3,0.075
nh0017,novela romántica,10,1.0,0,0.0
nh0021,novela romántica,36,0.9,4,0.1
nh0023,novela realista,100,1.0,0,0.0
nh0024,novela romántica,30,1.0,0,0.0
nh0025,novela romántica,30,1.0,0,0.0
nh0026,novela romántica,60,1.0,0,0.0
nh0027,novela realista,100,1.0,0,0.0
nh0035,novela romántica,20,1.0,0,0.0
nh0036,novela realista,100,1.0,0,0.0
nh0037,novela romántica,50,1.0,0,0.0
nh0040,novela romántica,19,0.95,1,0.05
nh0041,novela romántica,10,1.0,0,0.0
nh0043,novela romántica,59,0.9833333333333333,1,0.016666666666666666
nh0044,novela realista,100,1.0,0,0.0
nh0045,novela romántica,40,1.0,0,0.0
nh0046,novela realista,100,1.0,0,0.0
nh0047,novela realista,100,1.0,0,0.0
nh0048,novela realista,100,1.0,0,0.0
nh0049,novela romántica,30,1.0,0,0.0
nh0050,novela romántica,39,0.975,1,0.025
nh0052,novela realista,100,1.0,0,0.0
nh0053,novela romántica,30,1.0,0,0.0
nh0054,novela romántica,20,1.0,0,0.0
nh0055,novela romántica,60,1.0,0,0.0
nh0056,novela romántica,30,1.0,0,0.0
nh0061,novela romántica,18,0.9,2,0.1
nh0062,novela realista,100,1.0,0,0.0
nh0063,novela romántica,30,1.0,0,0.0
nh0064,novela romántica,20,1.0,0,0.0
nh0065,novela romántica,40,1.0,0,0.0
nh0067,novela realista,100,1.0,0,0.0
nh0068,novela realista,100,1.0,0,0.0
nh0069,novela romántica,10,1.0,0,0.0
nh0071,novela romántica,18,0.9,2,0.1
nh0072,novela romántica,10,1.0,0,0.0
nh0073,novela romántica,60,1.0,0,0.0
nh0075,novela realista,100,1.0,0,0.0
nh0085,novela romántica,30,1.0,0,0.0
nh0087,novela romántica,40,1.0,0,0.0
nh0089,novela realista,100,1.0,0,0.0
nh0092,novela romántica,50,1.0,0,0.0
nh0094,novela romántica,20,1.0,0,0.0
nh0095,novela romántica,40,1.0,0,0.0
nh0096,novela romántica,30,1.0,0,0.0
nh0097,novela romántica,40,1.0,0,0.0
nh0098,novela romántica,30,1.0,0,0.0
nh0102,novela romántica,20,1.0,0,0.0
nh0104,novela romántica,40,1.0,0,0.0
nh0105,novela romántica,18,0.9,2,0.1
nh0106,novela romántica,20,1.0,0,0.0
nh0108,novela romántica,40,1.0,0,0.0
nh0110,novela romántica,20,1.0,0,0.0
nh0111,novela romántica,20,1.0,0,0.0
nh0115,novela romántica,20,1.0,0,0.0
nh0116,novela romántica,10,1.0,0,0.0
nh0117,novela romántica,30,1.0,0,0.0
nh0118,novela romántica,18,0.9,2,0.1
nh0120,novela romántica,20,1.0,0,0.0
nh0121,novela romántica,29,0.9666666666666667,1,0.03333333333333333
nh0122,novela romántica,40,1.0,0,0.0
nh0124,novela romántica,20,1.0,0,0.0
nh0125,novela romántica,20,1.0,0,0.0
nh0126,novela romántica,20,1.0,0,0.0
nh0127,novela realista,100,1.0,0,0.0
nh0129,novela romántica,9,0.9,1,0.1
nh0131,novela romántica,39,0.975,1,0.025
nh0133,novela realista,100,1.0,0,0.0
nh0135,novela realista,90,0.9,10,0.1
nh0138,novela romántica,10,1.0,0,0.0
nh0140,novela romántica,40,1.0,0,0.0
nh0141,novela romántica,40,1.0,0,0.0
nh0142,novela romántica,50,1.0,0,0.0
nh0143,novela romántica,40,1.0,0,0.0
nh0144,novela romántica,10,1.0,0,0.0
nh0145,novela romántica,20,1.0,0,0.0
nh0146,novela romántica,40,1.0,0,0.0
nh0147,novela romántica,38,0.95,2,0.05
nh0148,novela realista,100,1.0,0,0.0
nh0149,novela romántica,10,1.0,0,0.0
nh0150,novela romántica,50,1.0,0,0.0
nh0151,novela romántica,46,0.92,4,0.08
nh0152,novela romántica,30,1.0,0,0.0
nh0156,novela romántica,30,1.0,0,0.0
nh0157,novela romántica,19,0.95,1,0.05
nh0159,novela romántica,30,1.0,0,0.0
nh0161,novela romántica,29,0.9666666666666667,1,0.03333333333333333
nh0162,novela romántica,30,1.0,0,0.0
nh0165,novela realista,100,1.0,0,0.0
nh0167,novela romántica,20,1.0,0,0.0
nh0169,novela romántica,9,0.9,1,0.1
nh0171,novela romántica,39,0.975,1,0.025
nh0172,novela romántica,39,0.975,1,0.025
nh0174,novela realista,100,1.0,0,0.0
nh0175,novela realista,100,1.0,0,0.0
nh0180,novela romántica,40,1.0,0,0.0
nh0181,novela romántica,20,1.0,0,0.0
nh0182,novela romántica,20,1.0,0,0.0
nh0183,novela romántica,30,1.0,0,0.0
nh0188,novela romántica,58,0.9666666666666667,2,0.03333333333333333
nh0195,novela romántica,10,1.0,0,0.0
nh0196,novela romántica,30,1.0,0,0.0
nh0197,novela romántica,30,1.0,0,0.0
nh0198,novela realista,100,1.0,0,0.0
nh0199,novela romántica,47,0.94,3,0.06
nh0201,novela romántica,50,1.0,0,0.0
nh0202,novela realista,100,1.0,0,0.0
nh0203,novela romántica,30,1.0,0,0.0
nh0204,novela realista,100,1.0,0,0.0
nh0208,novela realista,100,1.0,0,0.0
nh0210,novela realista,96,0.96,4,0.04
nh0214,novela realista,90,0.9,10,0.1
nh0216,novela romántica,40,1.0,0,0.0
nh0219,novela romántica,40,1.0,0,0.0
nh0220,novela romántica,50,1.0,0,0.0
nh0221,novela realista,100,1.0,0,0.0
nh0224,novela romántica,20,1.0,0,0.0
nh0225,novela romántica,50,1.0,0,0.0
nh0226,novela romántica,30,1.0,0,0.0
nh0227,novela romántica,40,1.0,0,0.0
nh0230,novela realista,100,1.0,0,0.0
nh0232,novela realista,100,1.0,0,0.0
nh0234,novela romántica,30,1.0,0,0.0
nh0235,novela realista,100,1.0,0,0.0
nh0237,novela romántica,10,1.0,0,0.0
nh0238,novela romántica,20,1.0,0,0.0
nh0239,novela realista,100,1.0,0,0.0
nh0240,novela romántica,20,1.0,0,0.0
nh0244,novela romántica,29,0.9666666666666667,1,0.03333333333333333
nh0246,novela romántica,40,1.0,0,0.0
nh0247,novela romántica,50,1.0,0,0.0
nh0248,novela romántica,50,1.0,0,0.0
nh0249,novela romántica,40,1.0,0,0.0
nh0250,novela romántica,30,1.0,0,0.0
nh0251,novela romántica,20,1.0,0,0.0
nh0252,novela romántica,40,1.0,0,0.0
nh0253,novela romántica,20,1.0,0,0.0
