cligs-idno,author,title,year of author's death,year of first publication,year of (print) edition used,copyright,expiration
nh0001,"Villaverde, Cirilo",El guajiro,1894,1842,1977,open domain,-
nh0002,"Payró, Roberto",Divertidas aventuras del nieto de Juan Moreira,1928,1910,unknown,open domain,-
nh0003,"Altamirano, Ignacio Manuel",Antonia,1893,1872,2009,ancillary,2034
nh0004,"Payró, Roberto",El falso Inca,1928,1905,1905,open domain,-
nh0005,"Altamirano, Ignacio Manuel",La Navidad en las montañas,1893,1871,1891,open domain,-
nh0006,"Altamirano, Ignacio Manuel",Clemencia,1893,1869,unknown,open domain,-
nh0007,"Altamirano, Ignacio Manuel",El Zarco,1893,1901,1943,open domain,-
nh0008,"Rivarola, Enrique E.",Amar al vuelo,1931,1884,1885,open domain,-
nh0009,"Gutiérrez, Eduardo",El rastreador,1889,1886,unknown,open domain,-
nh0010,"Meza, Ramón",Mi tío el empleado,1911,1887,unknown,open domain,-
nh0011,"Cambaceres, Eugenio",Sin rumbo,1888,1885,unknown,open domain,-
nh0012,"Cambaceres, Eugenio",En la sangre,1888,1887,unknown,open domain,-
nh0013,"Meza, Ramón",Carmela,1911,1887,1887,open domain,-
nh0014,"Auber de Noya, Virginia Felicia",Leoncio,1897,1844,1844,open domain,-
nh0015,"Salado Álvarez, Victoriano",Puebla,1931,1903,1903,open domain,-
nh0016,"Calcagno, Francisco",Romualdo,1903,1881,1974,open domain,-
nh0017,"Mármol, José",Amalia,1871,1855,unknown,open domain,-
nh0018,"Iglesia, Álvaro de la",Adoración,1940,1894,1906,open domain,-
nh0019,"Gamboa, Federico",¡Vendía Cerillos!,1939,1889,2009,ancillary,2034
nh0020,"Calcagno, Francisco",S. Y.,1903,1895,1896,open domain,-
nh0021,"Ocantos, Carlos María",La cruz de la falta,1949,1883,1883,open domain,-
nh0022,"Frías, Heriberto",Tomóchic,1925,1894,unknown,open domain,-
nh0023,"Rabasa, Emilio",La bola,1930,1887,1888,open domain,-
nh0024,"Mansilla, Eduarda",El médico de San Luis,1892,1860,1879,open domain,-
nh0025,"Mansilla, Eduarda",Lucía Miranda,1892,1860,1882,open domain,-
nh0026,"Ancona, Eligio",La cruz y la espada,1893,1866,1950,open domain,-
nh0027,"López, Lucio Vicente",La gran aldea,1894,1884,1884,open domain,-
nh0028,"Mohr, Luis Alberto",Alberto Trejo,1929,1884,1888,open domain,-
nh0029,"Sicardi, Francisco",Libro extraño,1927,1894,1894,open domain,-
nh0030,"Sicardi, Francisco",Genaro,1927,1895,1895,open domain,-
nh0031,"Sicardi, Francisco",Don Manuel de Paloche,1927,1899,1899,open domain,-
nh0032,"Sicardi, Francisco",Méndez,1927,1897,1897,open domain,-
nh0033,"Sicardi, Francisco",Hacia la justicia,1927,1902,1902,open domain,-
nh0034,"Cambaceres, Eugenio",Música sentimental,1888,1884,1884,open domain,-
nh0035,"López, Vicente Fidel",La novia del hereje o La Inquisición de Lima,1903,1855,1870,open domain,-
nh0036,"López Portillo y Rojas, José",La parcela,1923,1898,1945,open domain,-
nh0037,"López, Vicente Fidel",La loca de la guardia,1903,1896,1987,open domain,-
nh0038,"Argerich, Juan Antonio",Inocentes o culpables,1924,1884,1884,open domain,-
nh0039,"Cantilo, José Luis",Quimera,1944,1899,1899,open domain,-
nh0040,"Gutiérrez, Juan María",El capitán de patricios,1878,1864,1928,open domain,-
nh0041,"Gorriti, Juana Manuela",El pozo del Yocci,1892,1876,1929,open domain,-
nh0042,"Álvarez, José Sixto",En el mar austral,1903,1897,unknown,open domain,-
nh0043,"Gorriti, Juana Manuela",Juez y verdugo,1892,1876,1876,open domain,-
nh0044,"Castellanos, Jesús",La Conjura,1912,1909,1909,open domain,-
nh0045,"Machali, Ramón","Emilia, o los efectos del coquetismo",unknown,1862,1862,open domain,-
nh0046,"Ocantos, Carlos María",Promisión,1949,1897,1897,open domain,-
nh0047,"Ocantos, Carlos María",Quilito,1949,1891,1913,open domain,-
nh0048,"Ocantos, Carlos María",Don Perfecto,1949,1902,1915,open domain,-
nh0049,"Riva Palacio, Vicente",Martín Garatuza,1896,1868,1868,open domain,-
nh0050,"Cuéllar, José Tomás de",Ensalada de pollos,1894,1871,1871,open domain,-
nh0051,"Barra, Emma de la",Stella,1947,1905,2011,ancillary,2036
nh0052,"Delgado, Rafael",Los parientes ricos,1914,1901,1986,open domain,-
nh0053,"Gutiérrez, Eduardo",Juan Moreira,1889,1880,1888,open domain,-
nh0054,"Gutiérrez, Eduardo",El Chacho,1889,1884,unknown,open domain,-
nh0055,"Gutiérrez, Eduardo",Los montoneros,1889,1886,unknown,open domain,-
nh0056,"Gutiérrez, Eduardo",La muerte de un héroe,1889,1886,unknown,open domain,-
nh0057,"Cambaceres, Eugenio",Pot-pourri,1888,1882,1984,open domain,-
nh0058,"Domínguez, Silverio",Palomas y gavilanes,unknown,1886,1886,open domain,-
nh0059,"Podestá, Manuel T.",Irresponsable,1920,1889,1924,open domain,-
nh0060,"Miró, José María",La Bolsa,1896,1891,1898,open domain,-
nh0061,"Echagüe, Pedro",La Chapanay,1889,1884,1924,open domain,-
nh0062,"Cantilo, José María",La familia Quillango,1891,1880,1929,open domain,-
nh0063,"Zayas Guarneros, Pablo",Herencias de bienes robados,1902,1899,1899,open domain,-
nh0064,"Díaz Covarrubias, Juan","Gil Gómez, el insurgente o la hija del médico",1859,1858,1902,open domain,-
nh0065,"Díaz Covarrubias, Juan",La clase media,1859,1858,1859,open domain,-
nh0066,"Martínez Villergas, Juan",La vida en el chaleco,1894,1859,1859,open domain,-
nh0067,"Frías, Heriberto",El último duelo,1925,1896,1982,open domain,-
nh0068,"Delgado, Rafael",La Calandria,1914,1890,1931,open domain,-
nh0069,"Mateos, Juan Antonio",El cerro de las campanas,1913,1868,1907,open domain,-
nh0070,"Meza, Ramón",Don Aniceto el tendero,1911,1889,1975,open domain,-
nh0071,"Meza, Ramón",Últimas páginas,1911,1891,1975,open domain,-
nh0072,"Barreda, Rafael",Misterios del corazón,1927,1875,1897,open domain,-
nh0073,"Díaz Covarrubias, Juan",El diablo en México,1859,1858,unknown,open domain,-
nh0074,"Gamboa, Federico",Uno de tantos,1939,1889,1965,open domain,-
nh0075,"Delgado, Rafael",Historia vulgar,1914,1904,2010,ancillary,2035
nh0076,"Heredia, Nicolás",Leonela,1901,1893,1893,open domain,-
nh0077,"Zayas Guarneros, Pablo",Amor sublime,1902,1899,1909,open domain,-
nh0078,"Álvarez, José Sixto",Un viaje al país de los matreros,1903,1897,1910,open domain,-
nh0079,"Álvarez, José Sixto",Memorias de un vigilante,1903,1897,1920,open domain,-
nh0080,"Gamboa, Federico",Santa,1939,1903,unknown,open domain,-
nh0081,"Bunge, Carlos Octavio",La Novela de la Sangre,1918,1903,1904,open domain,-
nh0082,"Podestá, Manuel T.",Alma de niña,1920,1892,1892,open domain,-
nh0083,"Holmberg, Eduardo Ladislao",Dos partidos en lucha,1937,1875,2005,ancillary,2030
nh0084,"Larreta, Enrique",La gloria de Don Ramiro,1960,1908,1911,general,2030
nh0085,"Sierra O'Reilly, Justo",Un año en el hospital de San Lázaro,1861,1841,1985,open domain,-
nh0086,"Lugones, Leopoldo",La guerra gaucha,1938,1905,1905,open domain,-
nh0087,"Cané, Miguel",Esther,1863,1858,1858,open domain,-
nh0088,"Morante, Pedro G.",Grandezas,unknown,1896,1896,open domain,-
nh0089,"Delgado, Rafael",Angelina,1914,1893,unknown,open domain,-
nh0090,"Payno, Manuel",Los bandidos de Río Frío,1894,1892,unknown,open domain,-
nh0091,"Calcagno, Francisco",Don Enriquito,1903,1895,1895,open domain,-
nh0092,"Rivera y Río, José",La virgen del Niágara,1890,1871,1871,open domain,-
nh0093,"Estrada, Santiago",El hogar en la pampa,1891,1866,1866,open domain,-
nh0094,"Manso de Noronha, Juana Paula",Los misterios del Plata,1875,1868,1936,open domain,-
nh0095,"Manso de Noronha, Juana Paula",La familia del Comendador,1875,1854,unknown,open domain,-
nh0096,"Mitre, Bartolomé",Soledad,1906,1847,1847,open domain,-
nh0097,"Paz, Ireneo",La corregidora,1924,1887,1887,open domain,-
nh0098,"Rosas de Rivera, Mercedes",María de Montiel,unknown,1861,2010,ancillary,2035
nh0099,"Gutiérrez Nájera, Manuel",Por dónde se sube al cielo,1895,1882,unknown,open domain,-
nh0100,"Portillo, Andrés",María Luisa,unknown,1896,1896,open domain,-
nh0101,"Barra, Emma de la",Mecha Iturbe,1947,1906,1906,open domain,-
nh0102,"Villaverde, Cirilo",Dos amores,1894,1858,1930,open domain,-
nh0103,"Zamacois, Niceto de",El mendigo de San Ángel,1885,1865,1865,open domain,-
nh0104,"Castillo, Florencio María del",Hermana de los ángeles,1863,1854,1872,open domain,-
nh0105,"Payno, Manuel",El hombre de la situación,1894,1861,1861,open domain,-
nh0106,"Sierra O'Reilly, Justo",La hija del judío,1861,1848,1964,open domain,-
nh0107,"Zamacois, Niceto de",La destrucción de Pompeya,1885,1871,1871,open domain,-
nh0108,"Inclán, Luis Gonzaga",Astucia,1875,1866,2005,ancillary,2030
nh0109,"Morúa Delgado, Martín",Sofía,1910,1891,1891,open domain,-
nh0110,"Gorriti, Juana Manuela",Peregrinaciones de un alma triste,1892,1876,1876,open domain,-
nh0111,"Mateos, Juan Antonio",Los insurgentes,1913,1869,1900,open domain,-
nh0112,"Calcagno, Francisco",Los crímenes de Concha,1903,1887,1900,open domain,-
nh0113,"Gómez de Avellaneda, Gertrudis",Sab,1873,1841,1841,open domain,-
nh0114,"Bobadilla, Emilio",A fuego lento,1921,1903,1913,open domain,-
nh0115,"Gómez de Avellaneda, Gertrudis","Guatimozín, último emperador de Méjico",1873,1846,1853,open domain,-
nh0116,"Gómez de Avellaneda, Gertrudis",La velada del helecho o El donativo del diablo,1873,1857,1857,open domain,-
nh0117,"Gómez de Avellaneda, Gertrudis",Espatolino,1873,1844,1858,open domain,-
nh0118,"Villaverde, Cirilo",Cecilia Valdés o la Loma del Ángel,1894,1839,unknown,open domain,-
nh0119,"Martí, José",Amistad funesta,1895,1885,1911,open domain,-
nh0120,"Payno, Manuel",El fistol del diablo,1894,1846,1860,open domain,-
nh0121,"Suárez y Romero, Anselmo",Francisco,1878,1839,1947,open domain,-
nh0122,"Riva Palacio, Vicente",La vuelta de los muertos,1896,1870,1870,open domain,-
nh0123,"Sylva, Victorio",¡Así sea!,unknown,1893,1893,open domain,-
nh0124,"Gómez de Avellaneda, Gertrudis",El artista barquero o Los cuatro cinco de junio,1873,1861,1990,open domain,-
nh0125,"Riva Palacio, Vicente",Calvario y Tabor,1896,1868,1923,open domain,-
nh0126,"Cané, Miguel",La familia de Sconner,1863,1858,1930,open domain,-
nh0127,"Ocantos, Carlos María",El candidato,1949,1893,1917,open domain,-
nh0128,"Palma y Palma, Eulogio",La hija de Tutul Xiu,1914,1884,1951,open domain,-
nh0129,"Cuéllar, José Tomás de",Los fuereños,1894,1883,2009,ancillary,2034
nh0130,"Aguilar, Ventura",Otilia,unknown,1887,1895,open domain,-
nh0131,"Cuéllar, José Tomás de",Baile y cochino,1894,1886,1889,open domain,-
nh0132,"Otero, Rafael",Cecilia la Matancera,1876,1861,1861,open domain,-
nh0133,"Campo y Valle, Ángel de",La Rumba,1908,1891,unknown,open domain,-
nh0134,"Castera, Pedro",Querens,1906,1890,1890,open domain,-
nh0135,"Zambrana y Vázquez, Antonio",El negro Francisco,1922,1873,1948,open domain,-
nh0136,"Azuela, Mariano",María Luisa,1952,1907,2015,general,2022
nh0137,"Malpica La-Barca, Domingo",En el cafetal,1909,1890,1890,open domain,-
nh0138,"Cuéllar, José Tomás de",Gabriel el cerrajero o las hijas de mi papá,1894,1872,1892,open domain,-
nh0139,"Robles, Pedro",Los plateados de Tierra Caliente,unknown,1891,unknown,open domain,-
nh0140,"Gómez de Avellaneda, Gertrudis",Dos mujeres,1873,1843,1843,open domain,-
nh0141,"Cuéllar, José Tomás de",Las gentes que son así,1894,1872,1892,open domain,-
nh0142,"Olavarría y Ferrari, Enrique",El tálamo y la horca,1919,1868,1868,open domain,-
nh0143,"Olavarría y Ferrari, Enrique",Venganza y remordimiento,1919,1869,1869,open domain,-
nh0144,"Cuéllar, José Tomás de",Isolina la ex-figurante,1894,1871,1891,open domain,-
nh0145,"Castera, Pedro",Dramas en un corazón,1906,1890,1890,open domain,-
nh0146,"Altamirano, Ignacio Manuel",Julia,1893,1870,1880,open domain,-
nh0147,"Pichardo, Estebán",El fatalista,1879,1866,1866,open domain,-
nh0148,"Ocantos, Carlos María",Entre dos luces,1949,1892,1892,open domain,-
nh0149,"Paz, Ireneo",Doña Marina,1924,1883,1883,open domain,-
nh0150,"Larrosa de Ansaldo, Lola",Los esposos,1895,1893,1893,open domain,-
nh0151,"Guadalajara, José Rafael",Amalia,unknown,1891,1911,open domain,-
nh0152,"Paz, Ireneo",Juárez,1924,1904,1904,open domain,-
nh0153,"Auber Noya, Virginia Felicia",Ambarina,1897,1858,1858,open domain,-
nh0154,"Auber Noya, Virginia Felicia",Wilhelmina,1897,1843,1843,open domain,-
nh0155,"Saldías, Adolfo",Bianchetto,1914,1896,1896,open domain,-
nh0156,"Paz, Ireneo",La piedra del sacrificio,1924,1871,1871,open domain,-
nh0157,"Sierra Méndez, Justo",Confesiones de un pianista,1912,1873,2018,ancillary,2043
nh0158,"Echáiz, Jesús",El paladín extranjero,1883,1871,1871,open domain,-
nh0159,"Mateos, Juan Antonio",El sol de mayo,1913,1868,1868,open domain,-
nh0160,"Barreda, Rafael",Pepa Larrica,1927,1884,1899,open domain,-
nh0161,"López, Vicente Fidel",La gran semana de 1810,1903,1896,1896,open domain,-
nh0162,"Paz, Ireneo",Amor de viejo,1924,1874,1982,open domain,-
nh0163,"Morúa Delgado, Martín",La familia Unzúazu,1910,1901,1901,open domain,-
nh0164,"Groussac, Paul",Fruto Vedado,1929,1881,1884,open domain,-
nh0165,"Salado Álvarez, Victoriano",Las ranas pidiendo rey,1931,1903,1903,open domain,-
nh0166,"Bacardí Moreau, Emilio",Vía Crucis,1922,1910,1979,open domain,-
nh0167,"Piña, Ramón",Gerónimo el honrado,1861,1856,1859,open domain,-
nh0168,"Gómez de Avellaneda, Gertrudis",Dolores,1873,1851,1851,open domain,-
nh0169,"Villaverde, Cirilo",El penitente,1894,1889,1889,open domain,-
nh0170,"Calcagno, Francisco",Aponte,1903,1901,1901,open domain,-
nh0171,"Castera, Pedro",Carmen,1906,1882,1910,open domain,-
nh0172,"Larrosa de Ansaldo, Lola",El lujo,1895,1889,1889,open domain,-
nh0173,"Campos, Rubén M.",Claudio Oronoz,1945,1906,1906,open domain,-
nh0174,"Rabasa, Emilio",El cuarto poder,1930,1888,1982,open domain,-
nh0175,"Rabasa, Emilio",Moneda falsa,1930,1888,1982,open domain,-
nh0176,"Olascoaga, Manuel J.","El sargento Claro, o la guerra de Chile",1911,1898,1898,open domain,-
nh0177,"Díaz Olazábal, Rodolfo",Buenos Aires cosmopolita,unknown,1900,1900,open domain,-
nh0178,"Gorriti, Juana Manuela",Gubi Amaya,1892,1865,1907,open domain,-
nh0179,"Domínguez, Silverio",Perfiles y medallones,unknown,1886,1886,open domain,-
nh0180,"Ancona, Eligio",El filibustero,1893,1864,1964,open domain,-
nh0181,"Ancona, Eligio",Los mártires del Anáhuac,1893,1870,1964,open domain,-
nh0182,"Ancona, Eligio",Memorias de un alférez,1893,1904,1964,open domain,-
nh0183,"Rivera y Río, José",Los dramas de Nueva-York,1890,1869,1869,open domain,-
nh0184,"Almazán, José Pascual",Un hereje y un musulmán,1886,1870,1964,open domain,-
nh0185,"Holmberg, Eduardo Ladislao",Viaje maravilloso del Señor Nic-Nac,1937,1875,1875,open domain,-
nh0186,"Holmberg, Eduardo Ladislao",La bolsa de huesos,1937,1896,1896,open domain,-
nh0187,"Holmberg, Eduardo Ladislao",Nelly,1937,1896,1896,open domain,-
nh0188,"Villaverde, Cirilo",La joven de la flecha de oro,1894,1840,1841,open domain,-
nh0189,"Holmberg, Eduardo Ladislao",El tipo más original,1937,1879,2001,ancillary,2026
nh0190,"Gamboa, Federico",Apariencias,1939,1892,1965,open domain,-
nh0191,"Gamboa, Federico",La llaga,1939,1910,1965,open domain,-
nh0192,"Gamboa, Federico",Suprema Ley,1939,1896,1965,open domain,-
nh0193,"Gamboa, Federico",Reconquista,1939,1908,1965,open domain,-
nh0194,"Gamboa, Federico",Metamorfosis,1939,1899,1965,open domain,-
nh0195,"Pelliza de Sagasta, Josefina",Margarita,1888,1875,1875,open domain,-
nh0196,"Paz, Ireneo",Su Alteza Serenísima,1924,1895,1982,open domain,-
nh0197,"Cuéllar, José Tomás de",Historia de Chucho el Ninfo,1894,1871,1975,open domain,-
nh0198,"Rabasa, Emilio",La gran ciencia,1930,1887,1981,open domain,-
nh0199,"Cuéllar, José Tomás de",Los mariditos,1894,1890,1982,open domain,-
nh0200,"Varela, Luis Vicente",La huella del crimen,1911,1877,2009,ancillary,2034
nh0201,"Gutiérrez, Eduardo",Carlo Lanza,1889,1886,1890,open domain,-
nh0202,"López Portillo y Rojas, José",Los precursores,1923,1909,1976,open domain,-
nh0203,"Riva Palacio, Vicente","Monja y casada, virgen y mártir",1896,1868,unknown,open domain,-
nh0204,"Azuela, Mariano",Los fracasados,1952,1908,1996,general,2022
nh0205,"Azuela, Mariano",Mala yerba,1952,1909,1996,general,2022
nh0206,"Varela, Luis Vicente",Clemencia,1911,1877,2012,ancillary,2037
nh0207,"Guerrero y Pallarés, Teodoro",Anatomía del corazón,1904,1856,1867,open domain,-
nh0208,"Sánchez Mármol, Manuel",Antón Pérez,1912,1903,2011,ancillary,2036
nh0209,"Sánchez Mármol, Manuel",Previvida,1912,1906,2011,ancillary,2036
nh0210,"Zayas Enríquez, Rafael de",El teniente de los gavilanes,1932,1902,1916,open domain,-
nh0211,"Sánchez Mármol, Manuel",Pocahontas,1912,1882,2011,ancillary,2036
nh0212,"Sánchez Mármol, Manuel",Juanita Sousa,1912,1890,2011,ancillary,2036
nh0213,"Blanco, C. M.",Salvaje,unknown,1891,1891,open domain,-
nh0214,"Zentella, Arcadio",Perico,1920,1885,1982,open domain,-
nh0215,"Calcagno, Francisco",En busca del eslabón,1903,1888,1983,open domain,-
nh0216,"Ancona, Eligio",La Mestiza,1893,1891,1950,open domain,-
nh0217,"Méndez de Cuenca, Laura",El espejo de Amarilis,1928,1902,2011,ancillary,2036
nh0218,"Llanos, Julio",Arturo Sierra,1933,1884,1884,open domain,-
nh0219,"Campo, Estanislao del",Camila o la virtud triunfante,1880,1856,unknown,open domain,-
nh0220,"Puig y de la Puente, Francisco","La campana de la tarde; o, Vivir muriendo",1917,1873,1873,open domain,-
nh0221,"Iglesia, Álvaro de la",La alondra,1940,1897,1897,open domain,-
nh0222,"Bunge, Carlos Octavio",Xarcas Silenciario,1918,1903,1903,open domain,-
nh0223,"Solar, Alberto del",Contra la marea,1921,1894,unknown,open domain,-
nh0224,"Gutiérrez, Eduardo",Juan Cuello,1889,1880,1895,open domain,-
nh0225,"Gutiérrez, Eduardo",La Mazorca,1889,1888,1895,open domain,-
nh0226,"Gutiérrez, Eduardo",Una tragedia de doce años,1889,1888,1895,open domain,-
nh0227,"Mateos, Juan Antonio",Sacerdote y caudillo,1913,1869,1986,open domain,-
nh0228,"Guiteras y Font, Eusebio",Irene Albar,1893,1885,1885,open domain,-
nh0229,"García Merou, Martín",Ley social,1905,1885,1885,open domain,-
nh0230,"Ocantos, Carlos María",León Zaldívar,1949,1888,1916,open domain,-
nh0231,"Iglesia, Álvaro de la",Pepe Antonio,1940,1903,1903,open domain,-
nh0232,"Parra, Porfirio",Pacotillas,1912,1900,1900,open domain,-
nh0233,"Segale, Atenógenes",Auras de Abril,1903,1897,1897,open domain,-
nh0234,"Rivera y Río, José",Pobres y ricos de México,1890,1884,1884,open domain,-
nh0235,"Ocantos, Carlos María",La Ginesa,1949,1894,1916,open domain,-
nh0236,"Morales, Vicente",Gerardo,unknown,1874,1982,open domain,-
nh0237,"Pizarro, Nicolás",La coqueta,1895,1861,1982,open domain,-
nh0238,"Betancourt, Ramón",Una feria de la Caridad en 183...,1890,1841,1858,open domain,-
nh0239,"San Juan, Manuel H.",El señor gobernador,1917,1901,1901,open domain,-
nh0240,"Castera Cortés, Pedro",Los maduros,1906,1882,2009,ancillary,2034
nh0241,"Morales, Vicente",Silveria de Epinay,unknown,1872,1931,open domain,-
nh0242,"Heredia, Nicolás",Un hombre de negocios,1901,1882,1882,open domain,-
nh0243,"Márquez, José de Jesús",Los Hermanos del Silencio,1902,1896,1896,open domain,-
nh0244,"Roa Bárcena, José María",La quinta modelo,1908,1857,1910,open domain,-
nh0245,"Guerrero y Pallarés, Teodoro",La nube negra,1904,1874,1874,open domain,-
nh0246,"Tovar, Pantaleón",Ironías de la vida,1876,1851,1851,open domain,-
nh0247,"Cabral, José Victoriano",Amelia de Floriani o el castillo del diablo,1915,1887,1887,open domain,-
nh0248,"Cabral, José Victoriano",La campana de San Telmo y la conspiración de 1839 contra el dictador Rosas,1915,1897,1900,open domain,-
nh0249,"Cabral, José Victoriano","Lina Montalván, o el terremoto que destruyó el Callao y la ciudad de Lima en 1746",1915,1880,1880,open domain,-
nh0250,"Ochagavia, Margarita Rufina","Un ángel y un demonio, o el valor de un juramento",unknown,1857,1857,open domain,-
nh0251,"Ramírez, José María",Avelina,1892,1864,1864,open domain,-
nh0252,"Ramírez, José María",Gabriela,1892,1862,1864,open domain,-
nh0253,"Cuéllar, José Tomás de",El pecado del siglo,1894,1869,1869,open domain,-
nh0254,"García Velloso, Enrique",Neurosis sentimental,1938,1900,1900,open domain,-
nh0255,"Solar, Alberto del",Rastaquouère,1921,1890,1890,open domain,-
nh0256,"Villafañe, Segundo I.",Don Lino Velásquez,1937,1886,1886,open domain,-
