idno,verse_absolute,verse_relative,drama_absolute,drama_relative,writing_absolute,writing_relative
nh0153,178,0.0018353164374239582,0,0,0,0
nh0216,0,0,0,0,2000,0.025188599639803026
nh0036,0,0,0,0,0,0
nh0074,0,0,0,0,0,0
nh0058,0,0,0,0,0,0
nh0231,0,0,0,0,391,0.005096454640250261
nh0096,200,0.009527439024390244,0,0,0,0
nh0088,0,0,0,0,0,0
nh0005,397,0.022810848080900944,0,0,0,0
nh0117,80,0.0013712483502168287,0,0,0,0
nh0173,0,0,0,0,3122,0.04928410185170568
nh0020,117,0.004401805869074492,0,0,0,0
nh0234,40,0.0005319290406659751,53,0.000704805978882417,3007,0.03998776563206468
nh0255,0,0,0,0,3255,0.06772784019975031
nh0087,30,0.0016926201760324984,0,0,0,0
nh0114,42,0.0006582349898913912,0,0,0,0
nh0017,16,0.00006915151096051449,0,0,0,0
nh0146,0,0,0,0,0,0
nh0215,0,0,0,0,274,0.004212338770427537
nh0243,60,0.0021551724137931034,0,0,355,0.012751436781609195
nh0154,0,0,0,0,0,0
nh0250,0,0,0,0,0,0
nh0045,0,0,0,0,0,0
nh0185,22,0.0006562462713280038,0,0,354,0.01055959909318697
nh0092,0,0,0,0,0,0
nh0037,128,0.0012797184619383736,5310,0.05308832056947472,0,0
nh0018,0,0,0,0,0,0
nh0125,104,0.0007629611696781624,0,0,0,0
nh0070,0,0,0,0,0,0
nh0008,24,0.0005767705654754753,0,0,446,0.010718319675085915
nh0014,0,0,0,0,0,0
nh0136,0,0,0,0,0,0
nh0046,0,0,0,0,0,0
nh0103,632,0.00191008111800191,0,0,0,0
nh0001,98,0.002687803406379419,0,0,100,0.002742656537121856
nh0132,448,0.00735861763111644,0,0,0,0
nh0202,1042,0.007124347903376886,0,0,2274,0.015547761163415585
nh0110,0,0,0,0,20158,0.4708163026976527
nh0043,0,0,0,0,0,0
nh0186,19,0.00098034157164233,0,0,417,0.021515917651307982
nh0126,0,0,0,0,0,0
nh0159,1394,0.007815960482862637,0,0,0,0
nh0222,0,0,0,0,2296,0.06836996009767138
nh0010,0,0,0,0,0,0
nh0097,73,0.000801862958325095,1293,0.014202860344032162,0,0
nh0080,0,0,0,0,0,0
nh0024,21,0.0005111976630963973,0,0,0,0
nh0138,0,0,0,0,0,0
nh0107,147,0.00048451848091920076,0,0,0,0
nh0040,224,0.013782071002276504,0,0,0,0
nh0112,0,0,0,0,0,0
nh0235,0,0,0,0,567,0.007789959607616849
nh0019,0,0,0,0,0,0
nh0177,49,0.001523252922158667,0,0,178,0.005533449390698831
nh0026,586,0.005703995717136322,0,0,0,0
nh0098,101,0.0010042756289151834,0,0,0,0
nh0227,0,0,0,0,6370,0.033470472947766096
nh0229,55,0.0018689048217744402,0,0,0,0
nh0167,207,0.0024255633282947234,87,0.0010194396597180723,0,0
nh0057,23,0.00045589692765113973,2105,0.04172447968285431,0,0
nh0162,0,0,0,0,0,0
nh0161,69,0.003322099181511796,0,0,0,0
nh0188,696,0.010184521283600872,0,0,184,0.002692459649687587
nh0220,28,0.0006080743588073056,0,0,0,0
nh0082,0,0,0,0,0,0
nh0228,18,0.00044686080285990913,0,0,228,0.005660236836225516
nh0142,159,0.0010110259051543246,0,0,0,0
nh0187,0,0,0,0,2344,0.11759393969798826
nh0212,0,0,0,0,154,0.004765736213405954
nh0241,28,0.0011400651465798045,0,0,281,0.011441368078175895
nh0210,23,0.0003706568684329272,0,0,32,0.0005156965126023336
nh0182,0,0,0,0,5064,0.040748668265284775
nh0168,0,0,0,0,0,0
nh0198,0,0,0,0,445,0.011206245278267439
nh0042,8,0.0001279570064458342,0,0,0,0
nh0102,0,0,0,0,0,0
nh0027,20,0.00039606313246331467,0,0,0,0
nh0143,0,0,0,0,0,0
nh0158,242,0.0023450066861760888,0,0,0,0
nh0135,0,0,0,0,0,0
nh0053,214,0.002611252791234,0,0,0,0
nh0030,0,0,0,0,0,0
nh0244,0,0,0,0,1587,0.05022787694644892
nh0194,96,0.0007937951677719162,0,0,575,0.004754502306967207
nh0133,0,0,0,0,0,0
nh0200,0,0,0,0,213,0.004699704337849168
nh0100,0,0,0,0,0,0
nh0076,64,0.0007592383889910433,0,0,0,0
nh0003,30,0.0016650940778153965,0,0,752,0.04173835821723927
nh0011,0,0,0,0,0,0
nh0119,0,0,0,0,0,0
nh0141,174,0.0013505017812652804,0,0,0,0
nh0209,28,0.0007200905256660837,0,0,861,0.022142783664232075
nh0175,0,0,0,0,204,0.004257983719474014
nh0247,8,0.000046259353062947414,0,0,3675,0.02125039031329147
nh0075,25,0.0010788883134817883,0,0,0,0
nh0144,29,0.0004190388116637286,0,0,0,0
nh0145,0,0,0,0,0,0
nh0157,363,0.017719418139217027,59,0.002880015620423704,0,0
nh0224,0,0,0,0,4689,0.041174197853918966
nh0221,63,0.0012643493618046079,0,0,421,0.008449064782853014
nh0061,23,0.0008588498879761016,0,0,0,0
nh0160,547,0.0045501809258412015,0,0,0,0
nh0240,0,0,0,0,9,0.0005159367117633571
nh0081,0,0,0,0,0,0
nh0055,0,0,0,0,0,0
nh0012,0,0,0,0,0,0
nh0091,73,0.002797363580625383,0,0,0,0
nh0052,178,0.001688516192680567,0,0,0,0
nh0071,0,0,0,0,0,0
nh0031,0,0,0,0,12,0.00020802635000433388
nh0219,227,0.009866133518776079,0,0,0,0
nh0016,151,0.004902597402597402,0,0,0,0
nh0147,47,0.0006412355380921197,0,0,231,0.0031516044531761625
nh0238,562,0.012841018141936663,0,0,4651,0.10626970707855413
nh0180,0,0,0,0,2089,0.020638009899131605
nh0226,27,0.00024694745506928246,0,0,2928,0.026780079571957743
nh0032,301,0.004173541686887315,0,0,0,0
nh0242,16,0.00038006556130932586,0,0,1026,0.02437170411896052
nh0176,0,0,0,0,243,0.004947471292450525
nh0204,9,0.00020823210939126813,0,0,75,0.0017352675782605679
nh0155,1209,0.020454430101341636,0,0,0,0
nh0099,0,0,0,0,0,0
nh0086,534,0.008584518929346516,0,0,0,0
nh0203,10,0.00006913334439466844,0,0,781,0.005399314197223605
nh0124,0,0,0,0,0,0
nh0021,38,0.0009544381373386246,0,0,0,0
nh0129,0,0,0,0,0,0
nh0002,37,0.0003741039200024266,0,0,1265,0.012790309697380261
nh0004,12,0.0005455289357639678,0,0,100,0.004546074464699732
nh0069,1034,0.004835300499429491,0,0,0,0
nh0047,0,0,0,0,0,0
nh0035,618,0.004404250315352874,0,0,1016,0.007240644531389191
nh0205,0,0,0,0,412,0.0093642748369207
nh0123,9,0.00015565009857839576,0,0,0,0
nh0085,26,0.00019411387018261636,0,0,0,0
nh0192,0,0,0,0,539,0.004719748513585695
nh0218,0,0,0,0,123,0.004456683213159897
nh0169,0,0,0,0,0,0
nh0152,13,0.00006976157639697557,2660,0.014274291785842693,0,0
nh0225,0,0,0,0,2564,0.025062068695873164
nh0230,0,0,0,0,0,0
nh0094,24,0.0005591928982501922,0,0,0,0
nh0060,14,0.00023514789122730404,0,0,0,0
nh0256,0,0,0,0,146,0.004554103371908045
nh0239,18,0.0006633988132532341,1048,0.038624553127188294,861,0.031732576567279694
nh0246,2385,0.01152730787820203,2629,0.012706621556307396,1630,0.007878202029966168
nh0223,0,0,0,0,0,0
nh0089,111,0.0012439623000974997,0,0,0,0
nh0195,96,0.0013862815884476535,0,0,16677,0.2408231046931408
nh0190,11,0.0001004199379222202,0,0,1418,0.012945042906700748
nh0013,0,0,0,0,0,0
nh0199,0,0,0,0,207,0.008037898497262455
nh0191,39,0.0003460115514625642,0,0,679,0.006024149831873874
nh0254,3,0.0001892863903085368,0,0,1083,0.0683323869013818
nh0207,263,0.0019281242210524771,0,0,13951,0.10227855896541106
nh0015,406,0.004499013762992841,0,0,0,0
nh0189,414,0.010468027004475461,0,0,688,0.017396141495360187
nh0151,269,0.007278926290724104,0,0,0,0
nh0193,0,0,0,0,38,0.0003849894634462636
nh0232,34,0.0002446500784319369,0,0,5765,0.041482579475297536
nh0137,18,0.0001861619609059882,0,0,0,0
nh0164,94,0.0013730244515205514,0,0,0,0
nh0213,172,0.008224942616679418,0,0,0,0
nh0122,49,0.00045030556449018975,0,0,0,0
nh0062,0,0,0,0,0,0
nh0174,0,0,0,0,13,0.00033158190072948016
nh0044,0,0,0,0,0,0
nh0033,0,0,0,0,1,0.000015003300726159756
nh0063,0,0,0,0,0,0
nh0109,22,0.0003747870528109029,0,0,0,0
nh0236,20,0.0003571683691692264,0,0,1010,0.018037002643045932
nh0165,197,0.003344595168163529,1252,0.021256005840308314,0,0
nh0179,0,0,0,0,0,0
nh0007,22,0.00043166879230844695,0,0,43,0.0008437162758756009
nh0118,806,0.0044128838688836935,0,0,0,0
nh0077,0,0,0,0,0,0
nh0120,163,0.0006810025360033089,0,0,0,0
nh0108,80,0.0002531661592794891,0,0,0,0
nh0211,0,0,0,0,29,0.0008264227294747941
nh0128,0,0,0,0,0,0
nh0090,0,0,0,0,0,0
nh0111,9,0.00006054734802615645,0,0,0,0
nh0048,0,0,0,0,0,0
nh0051,175,0.0017422123109699643,0,0,0,0
nh0184,0,0,0,0,1337,0.018207816968541467
nh0078,10,0.00038340618050762977,0,0,0,0
nh0056,0,0,0,0,0,0
nh0113,485,0.009128724425455025,0,0,0,0
nh0148,23,0.00030566815070768823,0,0,0,0
nh0172,76,0.0019226877150374418,0,0,0,0
nh0067,0,0,0,0,0,0
nh0041,0,0,0,0,0,0
nh0049,19,0.00013931661533949258,0,0,0,0
nh0025,568,0.007889546351084813,0,0,0,0
nh0006,0,0,0,0,448,0.008817856158721412
nh0029,21,0.00021049044273156454,0,0,0,0
nh0028,101,0.0024879911319127973,0,0,0,0
nh0121,21,0.0005728001745676722,0,0,0,0
nh0206,0,0,0,0,688,0.013814706236697321
nh0022,99,0.001599844863528385,0,0,0,0
nh0237,153,0.0029922553391222716,439,0.008585621528592663,296,0.005788938433857467
nh0131,0,0,0,0,0,0
nh0101,28,0.0002750707324740648,0,0,0,0
nh0139,50,0.000956278927437555,0,0,0,0
nh0050,0,0,0,0,0,0
nh0095,17,0.000472524112627512,0,0,0,0
nh0251,28,0.0015897348549366946,0,0,5678,0.32237551808323395
nh0214,27,0.001195060416943301,0,0,0,0
nh0039,0,0,0,0,0,0
nh0084,128,0.0014472598170573137,0,0,0,0
nh0149,167,0.0008838738018746593,774,0.004096516902101714,0,0
nh0166,303,0.0030537890164380526,0,0,0,0
nh0170,91,0.002094554159186116,0,0,0,0
nh0064,182,0.0022310756972111555,0,0,0,0
nh0106,45,0.00022988153438261482,0,0,0,0
nh0038,51,0.0006660659013438859,0,0,0,0
nh0248,0,0,0,0,907,0.02587215106826026
nh0178,0,0,0,0,0,0
nh0249,69,0.0015271230329991369,0,0,5220,0.11553017727906513
nh0093,225,0.00992588671254632,0,0,0,0
nh0163,0,0,0,0,0,0
nh0252,0,0,0,0,169,0.008214250996403227
nh0073,0,0,0,0,0,0
nh0253,13,0.0001085703786600745,0,0,329,0.0027476657368588086
nh0150,0,0,0,0,0,0
nh0197,339,0.005312813440320963,0,0,127,0.001990346038114343
nh0233,156,0.0057685907628591505,0,0,7,0.00025884702141034646
nh0009,0,0,0,0,0,0
nh0072,103,0.0012500758541173615,0,0,0,0
nh0183,45,0.00025693290625374693,0,0,4761,0.027183501481646426
nh0134,0,0,0,0,0,0
nh0083,0,0,0,0,0,0
nh0104,137,0.00461714747910488,0,0,0,0
nh0054,8,0.00005549582047102078,0,0,0,0
nh0079,115,0.005259306686179457,0,0,0,0
nh0115,741,0.005680163122633266,0,0,0,0
nh0059,0,0,0,0,0,0
nh0116,0,0,0,0,0,0
nh0023,0,0,0,0,0,0
nh0068,145,0.0016209086031121445,0,0,0,0
nh0065,68,0.0022257863899708685,0,0,0,0
nh0217,479,0.0026560351328572063,92,0.0005101361841813423,1029,0.00570576232089784
nh0105,281,0.005560612656825108,0,0,0,0
nh0156,195,0.001760309092222142,0,0,0,0
nh0201,0,0,0,0,74,0.0006382556645190226
nh0034,0,0,0,0,99,0.0024292094027580113
nh0127,0,0,0,0,0,0
nh0171,0,0,0,0,0,0
nh0245,0,0,0,0,505,0.012197183778953216
nh0130,452,0.006601624116375533,0,0,0,0
nh0066,965,0.004876323302761565,0,0,0,0
nh0140,0,0,0,0,0,0
nh0208,96,0.001725935780806156,0,0,0,0
nh0196,0,0,0,0,1306,0.017036486257321383
nh0181,40,0.00031563165785528286,0,0,664,0.005239485520397696