label,num_works
"novela",134
"novela romántica",121
"novela social",102
"novela sentimental",95
"novela de costumbres",92
"novela histórica",82
"novela realista",70
"novela naturalista",60
"novela original",36
"novela mexicana",28
"novela política",28
"novela cubana",20
"episodios",11
"drama",11
"memorias",10
"novela abolicionista",10
"novela gauchesca",10
"novela de la ciudad",9
"cuento",9
"novela criminal",9
"historia",8
"cuadros",8
"novela indigenista",8
"novela argentina",7
"novela de familia",6
"Künstlerroman",6
"novela modernista",6
"crónica",6
"novela contemporánea",6
"novela americana",5
"estudio",5
"novela científica",5
"leyenda",5
"novela de aventuras",4
"novela militar",4
"novela policial",4
"romance",3
"esbozos",3
"novela regional",3
"novela jurídica",3
"novela nacional",3
"narración",3
"novela fantástica",3
"novela moralista",3
"novela de viajes",3
"novela humorística",3
"novela satírica",3
"novela verista",3
"páginas",3
"Bildungsroman",2
"confesiones",2
"relación",2
"novela epistolar",2
"novela psicológica",2
"novela yucateca",2
"novela bonaerense",2
"perfiles",2
"novela de misterio",2
"novela doméstica",2
"novela picaresca",2
"ensayo",2
"entretenimientos",2
"croquis",1
"cinematógrafo",1
"novela criolla",1
"novela filosófica",1
"novela habanera",1
"novela documentaria",1
"boceto",1
"apuntamientos",1
"panorama",1
"medallones",1
"novela clasicista",1
"novela franco-argentina",1
"novela cómica",1
"novela curiosa",1
"tragedia",1
"juguete",1
"novela espiritista",1
"novela biográfica",1
"comedia de carácter",1
"novela de crímenes",1
"novela de horrores",1
"novela analítica",1
"escenas",1
"novela camagüeyana",1
"apuntes",1
"novela de actualidad",1
"relato",1
"elegía",1